message,message_length,hour_published,num_likes,num_comments,num_shares,published,year_published,month_published,page
เด็กน้อย ยิ้มอย่างมีความสุข เมื่อได้ของขวัญปีใหม่ ที่แสนถูกใจ <3,64,0,27354,1086,11,2016-01-01 00:25:14.000000 UTC,2016,1,ejeab
พรีวิวตัวอย่างจากนิทานอีสัสเล่มสอง ทันงานหนังสือช่วงต้นปีแน่นอน เล่มนี้เนื้อหาแน่นเอี๊ยดเหมือนเคย แถมบั่นทอนสติปัญญากว่าเล่มแรกล้านล้านเท่า,139,5,2600,72,16,2016-01-01 05:51:21.000000 UTC,2016,1,dramaadd
อุ๊ต่ะ !!!!,11,1,29106,1683,21,2016-01-02 01:09:11.000000 UTC,2016,1,ejeab
"รบกวนขอความช่วยเหลือแพทย์ประจำบ้านภาคกุมารที่ชลบุรีหน่อยครับ กำลังป่วยหนักมากต้องการเกล็ดเลือด บริจาคได้ที่ สภากาชาดไทย ก่อน 12.00 ที่ รพ ชลบุรี ก่อน 14.00

รายละเอียดเพิ่มเติมดูได้ที่ 
https://www.facebook.com/photo.php?fbid=10154307066387119&set=a.10150220844192119.361067.787067118&type=3",291,11,3676,48,4646,2016-01-02 11:17:52.000000 UTC,2016,1,dramaadd
"อ่านความเห็นในภาพนี้แล้วรู้สึกว่าประเทศชาติยังพอมีความหวังอยู่บ้าง

https://www.facebook.com/welovestudentunivercity/photos/a.1561606730731210.1073741829.1560768124148404/1958767567681789/?type=3&theater",203,11,6284,247,223,2016-01-02 11:41:33.000000 UTC,2016,1,dramaadd
เห็นมีข่าวดราม่าของแพทกันแต่ไม่แซ่บรายละเอียด ไม่ทราบว่าเขาดราม่าอะไรกันน่ะคนับ แบบว่าไม่ค่อยได้ตามข่าววงการบันเทิง,115,0,3672,399,18,2016-01-03 00:45:56.000000 UTC,2016,1,dramaadd
"สำหรับคนที่อ่านสเตตัสเรื่อง BPA แล้วตื่นตกใจว่าทำไงดีๆ จากนี้ไปจะกินเครื่องดื่มแบบไหนได้บ้างล่ะเนี่ย แนะนำให้คว่ำก้นขวดพลาสติคดูนะครับ

ตรงก้นขวดมันจะมีเครื่องหมายแบบในภาพ และข้างในเป็นตัวเลข ระบุว่าพลาสติคที่ใช้ทำภาชนะเป็นพลาสติคชนิดไหน

ถ้าเป็นเบอร์ 3 6 7 ให้เลี่ยงครับ เพราะมีโอกาสปนเปื้อน BPA นอกนั้นแดกล่ายจ้า
ข่าวดีคือน้ำเปล่าบ้านไร ใช้ขวด PET กันหมด แต่เครื่องดื่มชนิดอื่นก็อย่าลืมพลิกดูก้นขวดกันก็ดีนะ

เดบิทภาพจาก http://www.integrativecanceranswers.com/bpa-plastics-linked-to-cancer-remove-them-from-your-home-now/",524,9,3746,101,1356,2016-01-03 09:02:38.000000 UTC,2016,1,dramaadd
"มีคำถามเข้ามาจากทางบ้าน ถามว่า ญาติไม่สบายไป รพ แล้วจะถ่ายรูปคนไข้ส่งให้ญาติคนอื่นๆดูนี่ผิดไหม ทำได้หรือเปล่า

ทำได้นะคร้าบ ไม่ผิดกฏหมายแต่ประการใด ไอ้ พรบ สุขภาพมาตรา 7 ก็ไม่เกี่ยวกับเรื่องนี้ จะถ่ายรูปแผล รูปคนไข้ส่งให้ญาติมิตรดูนี่ทำได้ตามสะดวกเลย (ปรึกษาฝ่ายกฏหมายมาแล้วครับ)

วันก่อนมีคนถามมาว่าจะ video call ให้คนไข้คุยกับญาติคนอื่นๆที่บ้าน ยังโดนห้ามเลย ซึ่งก็เป็นเรื่องที่สามารถทำได้เหมือนกัน ไม่มีกฏหมายข้อไหนห้ามแต่ประการใด

ไอ้ที่ห้ามคือเอากล้องไปถ่ายรูปคนไข้คนอื่นที่เราไม่ได้รู้จักมักจี่ห่าเหวอะไรเลย อันนี้ผิดครับ เป็นการละเมิดสิทธิผู้ป่วย ถ้าถ่ายญาติตัวเองที่เขายินยอมให้ถ่ายก็ไม่มีปัญหาอะไรครับ",610,2,2208,88,90,2016-01-05 02:29:20.000000 UTC,2016,1,dramaadd
ไปตามหาความหมายของชีวิตแปร้บ,28,9,2597,82,6,2016-01-05 09:31:41.000000 UTC,2016,1,dramaadd
ถ่ายรูปคู่ กะมอไซในตำนาน !!!,28,4,23733,656,13,2016-01-06 04:12:06.000000 UTC,2016,1,ejeab
ไหนๆวันนี้ก็พูดถึงการปั๊มหัวใจแล้ว ขอเอาข้อมูลเรื่องการปั๊มหัวใจจากหนังสือนิทานอีสัสมาเผยแพร่นะครับ กดอ่านภาพตามลำดับได้เลย ทำตามนี้มีโอกาสช่วยให้คนป่วยรอดตายเยอะกว่าเอาช้อนงัดปากหลายล้านเท่าครับ,195,9,3050,46,847,2016-01-06 09:08:35.000000 UTC,2016,1,dramaadd
อันนี้มาบอกบุญครับ ทางมูลนิธิคนตาบอดเขาว่ามีคนตาบอดอยากอ่านหนังสือนิทานอีสัส ก็เลยมาประกาศว่ามีใครสนใจจะอ่านหนังสือนิทานอีสัสแล้วอัดเสียงเป็นหนังสือเสียง ส่งให้ผู้พิการเขาได้ฟังไหมครับ ถ้าใครสนใจบอกได้ มีหนังสือนิทานอีสัสแจกให้ไปอ่านให้คนตาบอดฟังฟรีๆครับผม ไม่ต้องกังวลเรื่องลิขสิทธิ์นะครับ คุยกับทาง สนพ เรียบร้อยแล้ว,318,12,2049,60,125,2016-01-06 12:57:05.000000 UTC,2016,1,dramaadd
"วันนี้หนูขอหยุดเพจหนึ่งวันนะคะ พาแม่ไป ร.พ. 

ใครทักทาย ใครหลังไมค์มา หนูขอบคุณมากๆ แต่หนูอาจจะยังไม่ได้ตอบนะวันนี้ เสร็จธุระแล้วหนูจะกลับมาคุยเหมือนเดิม

<3",157,20,28242,2131,3,2016-01-06 20:39:18.000000 UTC,2016,1,ejeab
"หวัดดีวันเด็กจ้าาาาาาา

ใครจะพาลูกพาหลานไปไหน ดูเรื่องการจราจร เรื่องฟ้าฝน ด้วยนะจ๊ะ

ที่สำคัญ เรื่องความปลอดภัยของเด็กๆ ต้องมาก่อนนะจ๊ะ ชื่อเด็ก ชื่อ ที่อยู่เบอร์โทร ผู้ปกครอง ให้เด็กพกไว้ ติดตัวเด็กไว้ในกรณีพลัดหลง 
ไม่ต้องถึงขนาด แบบพ่อแม่หนู พาหนูไปสักเบอร์โทรพ่อแม่ไว้กลางหลังหรอก แผลจะหายช้า เด็กจะเที่ยวไม่สนุก

ใครจะมีสายจูง สายรั้งเด็กก็ใส่ไปเหอะ ไม่ต้องเขิล ทำเพราะความปลอดภัยของลูก กูใส่แบบสะพายเป้ ไม่ได้ผูกคอลูกกู ชาวบ้านไม่ควรเสือก

อยากให้ดูแลให้เด็กๆเค้ามีความสุขนะจ๊ะวันนี้ คุณอาจจะ ""เฮ้ย กูก็ดีกะมันทุกวัน"" ดีแล้วจ้ะพี่
 แต่วันนี้เด็กเค้าก็คงอยากให้มันพิเศษสำหรับเค้าน่ะ คิดถึงเราตอนเด็กๆเราก็ตื่นเต้นกะวันนี้ เราเป็นพ่อแม่ลุงป้าน้าอา ก็ทำให้มันหน่อยแล้วกัน ไม่ได้ยากลำบากไปหรอก 

ทีพาเมียน้อยแรดๆๆๆๆไปต่างจังหวัด ไปต่างประเทศไม่บ่นสักคำ อีดอก พาลูกออกจาก แถวหลักสี่ไปเที่ยวดอนเมือง แม่งบ่นเป็นheeกินผึ้งเลย โอ๊ยยรถติด โอ๊ยเหนื่อย โอ๊ยคนเยอะ โอ๊ย โอ๊ย โอ๊ยพ่องงง 5555555

ขอให้เด็กๆทุกคนมีความสุขมากๆในวันนี้นะคะ 

เด็กสู้สู้ เด็กสู้ตาย 1 2 123 12 12 1 เฮ้!!!!!",979,19,21207,538,37,2016-01-08 19:41:57.000000 UTC,2016,1,ejeab
"อันนี้แปลกมาก มีคนส่งหลังไมคมาเล่าว่าเขาเป็นไข้เลือดออก ไปรักษาแล้วได้รับคำแนะนำให้ซดน้ำแดง บอกว่าช่วยให้หายไข้เลือดออกและช่วยให้เกล็ดเลือดสูงขึ้น เขาสงสัยก็เลยส่งหลังไมคมาถามว่าจริงมั้ย (ไม่ใช่คนเดียวนะ ส่งมาแบบนี้หลายคนด้วย)

คือ น้ำแดงนี่ไม่ช่วยอะไรเลยครับ ที่ช่วยได้คือพวกน้ำเกลือแร่ แบบที่กินตอนท้องเสียนั่นล่ะ ซดเข้าไปเยอะๆ ส่วนน้ำสีดำๆแดงๆ เช่นโค๊ก เป๊บซี่ แฟนต้าน้ำแดง อะไรพวกนี้ ห้ามกินครับ

ไม่ใช่ว่ากินแล้วแย่ลงนะ แต่ระหว่างสังเกตอาการของไข้เลือดออก ต้องระวังภาวะเลือดออกตามอวัยวะต่างๆ เช่น ในทางเดินอาหาร ถ้ามีเลือดออกมาในทางเดินอาหาร เวลาอ้วกออกมามันจะมีสีดำๆ ถ้ากินอาหารหรือดื่มน้ำสีดำๆแดงๆเข้าไปมันสังเกตอาการยากว่ะครับ

ใครเคยได้รับคำแนะนำแปลกๆแบบนี้มั่งมาเล่าสู่กันฟังหน่อย

เดบิทภาพ http://www.manager.co.th/asp-bin/ViewNews.aspx?NewsID=9570000058990",768,7,2002,103,47,2016-01-11 07:10:11.000000 UTC,2016,1,dramaadd
โทษครับ เมื่อกี้จ่าเข้าเพจทั่นผู้ว่าไป จะดูสเตตัสที่ทั่นโพสเมื่อวาน บอกว่าทดสอบเรื่องความต้านทานของเสา CCTV แล้ว ยืนยันว่าไฟไม่รั่ว ไรงี้ ไม่รู้สเตตัสแม่งหายไปไหนละ ใครเซฟไว้ทันมั่งฮะ ตอนนี้เหลือแต่สเตตัสนี้ละ,209,7,1275,63,8,2016-01-11 07:38:08.000000 UTC,2016,1,dramaadd
